symbol,company_name,categories
SOFI,"SoFi Technologies, Inc.","US stocks,US stocks - not owned"
NCLH,Norwegian Cruise Line Holdings Ltd.,"US stocks,US stocks - not owned"
IVBXF,"Innovent Biologics, Inc.","US stocks,US stocks - not owned"
IEP,Icahn Enterprises L.P.,"US stocks,US stocks - not owned"
ELAN,Elanco Animal Health Incorporated,"US stocks,US stocks - not owned"
CIBEY,Commercial International Bank (Egypt) S.A.E.,"US stocks,US stocks - not owned"
IVZ,Invesco Ltd.,"US stocks,US stocks - not owned"
PUMSY,PUMA SE,"US stocks,US stocks - not owned"
RRC,Range Resources Corporation,"US stocks,US stocks - not owned"
CART,Maplebear Inc.,"US stocks,US stocks - not owned"
YMM,Full Truck Alliance Co. Ltd.,"US stocks,US stocks - not owned"
GPS,"The Gap, Inc.","US stocks,US stocks - not owned"
AU,AngloGold Ashanti plc,"US stocks,US stocks - not owned"
EXEL,"Exelixis, Inc.","US stocks,US stocks - not owned"
CSAN,Cosan S.A.,"US stocks,US stocks - not owned"
SWN,Southwestern Energy Company,"US stocks,US stocks - not owned"
TAL,TAL Education Group,"US stocks,US stocks - not owned"
CFLT,"Confluent, Inc.","US stocks,US stocks - not owned"
BRX,Brixmor Property Group Inc.,"US stocks,US stocks - not owned"
DELHY,Delivery Hero SE,"US stocks,US stocks - not owned"
KGC,Kinross Gold Corporation,"US stocks,US stocks - not owned"
FNMAS,Federal National Mortgage Association,"US stocks,US stocks - not owned"
MNSO,MINISO Group Holding Limited,"US stocks,US stocks - not owned"
LCID,"Lucid Group, Inc.","US stocks,US stocks - not owned"
CCCS,CCC Intelligent Solutions Holdings Inc.,"US stocks,US stocks - not owned"
STWD,"Starwood Property Trust, Inc.","US stocks,US stocks - not owned"
BMRRY,B&M European Value Retail S.A.,"US stocks,US stocks - not owned"
LKNCY,Luckin Coffee Inc.,"US stocks,US stocks - not owned"
PPC,Pilgrim's Pride Corporation,"US stocks,US stocks - not owned"
PILBF,Pilbara Minerals Limited,"US stocks,US stocks - not owned"
AR,Antero Resources Corporation,"US stocks,US stocks - not owned"
PHJMF,PT Hanjaya Mandala Sampoerna Tbk,"US stocks,US stocks - not owned"
CAE,CAE Inc.,"US stocks,US stocks - not owned"
FRSH,Freshworks Inc.,"US stocks,US stocks - not owned"
AGNC,AGNC Investment Corp.,"US stocks,US stocks - not owned"
VFC,V.F. Corporation,"US stocks,US stocks - not owned"
KVYO,"Klaviyo, Inc.","US stocks,US stocks - not owned"
HR,Healthcare Realty Trust Incorporated,"US stocks,US stocks - not owned"
KT,KT Corporation,"US stocks,US stocks - not owned"
MAT,"Mattel, Inc.","US stocks,US stocks - not owned"
LEVI,Levi Strauss & Co.,"US stocks,US stocks - not owned"
PHYS,Sprott Physical Gold Trust,"US stocks,US stocks - not owned"
FNMAN,Federal National Mortgage Association,"US stocks,US stocks - not owned"
SRUUF,Sprott Physical Uranium Trust Fund,"US stocks,US stocks - not owned"
UGP,Ultrapar Participações S.A.,"US stocks,US stocks - not owned"
BZ,Kanzhun Limited,"US stocks,US stocks - not owned"
CLVT,Clarivate Plc,"US stocks,US stocks - not owned"
FNMAT,Federal National Mortgage Association,"US stocks,US stocks - not owned"
ELP,Companhia Paranaense de Energia - COPEL,"US stocks,US stocks - not owned"
GRFS,"Grifols, S.A.","US stocks,US stocks - not owned"
OBDC,Blue Owl Capital Corporation,"US stocks,US stocks - not owned"
ICL,ICL Group Ltd,"US stocks,US stocks - not owned"
ADT,ADT Inc.,"US stocks,US stocks - not owned"
FYBR,"Frontier Communications Parent, Inc.","US stocks,US stocks - not owned"
FSK,FS KKR Capital Corp.,"US stocks,US stocks - not owned"
AM,Antero Midstream Corporation,"US stocks,US stocks - not owned"
VNO,Vornado Realty Trust,"US stocks,US stocks - not owned"
REYN,Reynolds Consumer Products Inc.,"US stocks,US stocks - not owned"
ALTM,Arcadium Lithium plc,"US stocks,US stocks - not owned"
CIG,Companhia Energética de Minas Gerais - CEMIG,"US stocks,US stocks - not owned"
UMICY,Umicore SA,"US stocks,US stocks - not owned"
SSL,Sasol Limited,"US stocks,US stocks - not owned"
TSRYY,Treasury Wine Estates Limited,"US stocks,US stocks - not owned"
